name,title,company,profile_url
Nick Tippmann,Founder &amp; Managing Partner,TipTop VC,https://www.stage2.capital/team/nick-tippmann
Nick Wentz,Co-Founder,Forward Future,https://www.stage2.capital/team/nick-wentz
Nikki Rouda,Product Marketing,DataRobot <https://www.datarobot.com>,https://www.stage2.capital/team/nikki-rouda
Ozge Tuncel Ozcan,Chief Customer Officer,Forter,https://www.stage2.capital/team/ozge-tuncel-ozcan
Pablo Smiraglia,Head of Engineering (US team),Check Point Software,https://www.stage2.capital/team/pablo-smiraglia
Pam Goodwin,"Senior Director, Growth Marketing; Vice President, Revenue Marketing",Discovery Education; Timely Care,https://www.stage2.capital/team/pam-goodwin
Parker Chase-Corwin,CEO + Principal Consultant,Xperience Alchemy,https://www.stage2.capital/team/parker-chase-corwin
Patrick Cucci,"Client Director, Financial Services - Enterprise",Databricks,https://www.stage2.capital/team/patrick-cucci
Paul De Barros,Enterprise Account Executive,SwapCard,https://www.stage2.capital/team/paul-de-barros
Paul McGhee,Revenue Enablement Director,Clari,https://www.stage2.capital/team/paul-mcghee
Payam Soleymani,Account Executive - Life Sciences,MasterControl,https://www.stage2.capital/team/payam-soleymani
Pete von Burchard,SVP Revenue Growth,Sequel.io,https://www.stage2.capital/team/pete-von-burchard
Phil McKennan,"Vice President of Strategy, Revenue &amp; Partnerships",Qualtrics,https://www.stage2.capital/team/phil-mckennan
Phil Ye,Founder &amp; Principle,Flextiger Ascend <https://flextiger.substack.com/>,https://www.stage2.capital/team/phil-ye
Pramod Iyengar,Chief Financial Officer,"Veem, Inc.",https://www.stage2.capital/team/pramod-iyengar
Qianrong Wu,Senior Data Scientist,Airbnb,https://www.stage2.capital/team/qianrong-wu
Rachel Clapp Miller,CMO,Force Management,https://www.stage2.capital/team/rachel-clapp-miller
Rex Gelb,Founder/CEO,Summit Chase,https://www.stage2.capital/team/rex-gelb
Richard Savage,Sr. Director of Commercial Sales &amp; SDR,Xage Security,https://www.stage2.capital/team/richard-savage
Rick Sawyer,Vice President of DraftKings N.A. Strategy &amp; Business Operations,DraftKings,https://www.stage2.capital/team/rick-sawyer
Rob Vitulano,"Director, Commercial Sales - West",Zendesk,https://www.stage2.capital/team/rob-vitulano
Robert Barnes,Strategic Accounts,HubSpot,https://www.stage2.capital/team/robert-barnes
Ronak Majmudar,Senior Vice President Global Customer Success &amp; Solution Engineering,Zuora,https://www.stage2.capital/team/ronak-majmudar
Russell Miller,Vice President of Marketing,Token Security,https://www.stage2.capital/team/russell-miller
Ryan Holden,Senior Director,ETONIEN,https://www.stage2.capital/team/ryan-holden
Ryan Lieser,Vice President of Partnerships and Alliances,Anecdotes,https://www.stage2.capital/team/ryan-lieser
Ryan Radding,Senior Vice President (SVP) U.S. and Canada Financial Services Enterprise Sales,Salesforce,https://www.stage2.capital/team/ryan-radding
Salman Syed,CEO,Astrada,https://www.stage2.capital/team/salman-syed
Sam Morovati,"Director, Customer Success - Strategic Accounts (Majors)",Slack,https://www.stage2.capital/team/sam-morovati
Scott Barbour,CEO,Rain Defense <http://raindefense.com>,https://www.stage2.capital/team/scott-barbour
Scott Garrison,Founder &amp; Head of Research; Market Research Lead,Garrison Research; OpenAI,https://www.stage2.capital/team/scott-garrison
Sean Holcombe,"Executive Vice President, Global Strategic Sales &amp; Partnerships",Qualtrics,https://www.stage2.capital/team/sean-holcombe
Semir Jahic,CEO &amp; Co-Founder,salesmotion.io,https://www.stage2.capital/team/semir-jahic
Shaun Porcar,Head of AI Growth &amp; Customer Success,Hexus <hexus.ai>,https://www.stage2.capital/team/shaun-porcar
Shawn Green,Chief Revenue Officer EVP GTM,Carbon6,https://www.stage2.capital/team/shawn-green
Somnath Roy,Director - Google Cloud Consulting - US West Region,Google Cloud,https://www.stage2.capital/team/somnath-roy
